Algorithm,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5
KNN,0.9414319593236952,0.949907900149697,0.9506077645504641,0.9467574124677114,0.9500616257359447
KNN-cosine,0.8957434086614351,0.9033095871385484,0.8878489443364064,0.9006415369730743,0.9083246620301961
KNN-pearson,0.9034251075998643,0.8856108198661563,0.9022273200941736,0.8903321661713388,0.9034799200249685
KNN-cosine-baseline,0.876977950223661,0.8857259733998418,0.8797560020659463,0.872724633506237,0.871213889108295
KNN-pearson-baseline,0.86776686873493,0.8774018495893857,0.8805274217801188,0.8699926707021747,0.8851123861665948
SVD,0.8726970822264665,0.8740654438081857,0.8670273136644367,0.873521569177947,0.8806736035283825
